M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39,M40,M41,M42,M43,M44,M45,M46,M47,M48,M49,M50,M51,M52,M53,M54,M55,M56,M57,M58,M59,M60,M61,M62,M63,M64,M65,M66,M67,M68,M69,M70,M71,M72,M73,M74,M75,M76,M77,M78,M79,M80,M81,M82,M83,M84,M85,M86,M87,M88,M89,M90,M91,M92,M93,M94,M95,M96,M97,M98,M99,M100,M101,M102,M103,M104,M105,M106,M107,M108,M109,M110,M111,M112,M113,M114,M115,M116,M117,M118,M119,M120,M121,M122,M123,M124,M125,M126,M127,M128,M129,M130,M131,M132,M133,M134,M135,M136,M137,M138,M139,M140,M141,M142,M143,M144,M145,M146,M147,M148,M149,M150,M151,M152,M153,M154,M155,M156,M157,M158,M159,M160,M161,M162,M163,M164,M165,M166,M167,M168,M169,M170,M171,M172,M173,M174,M175,M176,M177,M178,M179,M180,M181,M182,M183,M184,M185,M186,M187,M188,M189,M190,M191,M192,M193,M194,M195,M196,M197,M198,M199,M200,M201,M202,M203,M204,M205,M206,M207,M208,M209,M210,M211,M212,M213,M214,M215,M216,M217,M218,M219,M220,M221,M222,M223,M224,M225,M226,M227,M228,M229,M230,M231,M232,M233,M234,M235,M236
8424708.307,4040473.748,2737994.409,5600531.837,5600531.837,5293280.501,31100000.0,858207.1148,800182.9995,5957647.08,38300000.0,1706220.1530000002,612169.503,8902878.938,8902878.938,8902878.938,944748.1805,944748.1805,153929.5695,296541.946,3247430.914,3247430.914,3247430.914,648712.24,342909.67299999995,2203062.574,16844.308999999997,1145629.638,154908.065,154908.065,3164541.2180000003,2612918.374,5737587.1729999995,133754.9295,2503524.999,876122.585,876122.585,876122.585,579972.914,220985.7122,34100000.0,34100000.0,2602401.6780000003,6726454.627,9268666.992,9268666.992,337275.8099,7987636.12,7987636.12,1675607.03,4403797.323,269907.718,411461.3886,1070146.028,721401.8420000001,11800000.0,11800000.0,11800000.0,11800000.0,34904.7155,34904.7155,26167.905,46376.9705,115633.57,28500000.0,28500000.0,78948.5785,10800000.0,1319124.939,21200000.0,21200000.0,738760.045,738760.045,738760.045,1284687.732,4177244.587,3601700.455,3601700.455,3601700.455,3601700.455,3714907.0330000003,734016.5945,9082737.556,9082737.556,94600000.0,109000000.0,3580781.735,60457.57329,423309.355,236738.9845,198269.3245,42151.0845,42151.0845,42151.0845,986158.2078,21200000.0,241203.7065,233468.3215,629141.8245,441720.61799999996,722063.3990000001,116206.9535,926609.8609999999,4399231.912,11800000.0,1445309.6509999998,6660809.825,105574.7225,1463886.986,635016.7316,14300000.0,42500000.0,405422.946,203317.74800000002,502915.86799999996,29300000.0,17395.1875,17395.1875,17395.1875,624035.2710000001,1794843.915,1794843.915,1794843.915,1794843.915,138375.06900000002,125683.918,57319.08946,18600000.0,1388246.458,70700000.0,70700000.0,26400000.0,26400000.0,26400000.0,26400000.0,26400000.0,17400000.0,38300000.0,148851.5667,414352.0835,3068724.04,1741925.544,222216.026,645036.7629999999,590360.1326,28632.589,15300000.0,15300000.0,21400000.0,38656.76991,93600000.0,3939657.375,10400000.0,10900000.0,799691.188,799691.188,799691.188,162933.4265,10663.7725,246807.65399999998,246807.65399999998,246807.65399999998,246807.65399999998,61934.9455,61934.9455,61934.9455,61934.9455,24858.3405,4064657.3789999997,4064657.3789999997,4064657.3789999997,84311.24699999999,8756.5655,300328.3135,16295.909,325897.5325,269826.878,18300000.0,3473303.603,135728.8,135728.8,35781.321,435639.1945,435639.1945,548807.4238,104675.02,67698.838,17400000.0,580464.2270000001,184283.7425,5353623.319,80600000.0,6763129.91,470378.0085,12600000.0,13500000.0,86898.061,20317.112,25086.102000000003,110957.70300000001,16093.742,2716884.119,1315088.79,1197148.847,1980731.3380000002,673114.2540000001,706828.5651,219555.33800000002,102522.159,183402.3625,147270.096,192109.9725,193682.927,225584.1645,36300000.0,4688293.694,557776.8415,557776.8415,13400000.0,185758.9221,1807052.6369999999,1807052.6369999999,21800000.0,3476978.5439999998,691265.9525,691265.9525,1840437.033,1157473.0259999998,2337840.411,2337840.411,11900000.0,5142625.313999999,3458768.755,35781.321,215370.0398,215370.0398
8549698.883,4014459.588,2625990.6769999997,5115132.423,5115132.423,5584632.507999999,29900000.0,877398.338,834507.2915,5942373.8610000005,38900000.0,1785021.6909999999,624689.2275,9333904.559,9333904.559,9333904.559,1026440.0109999999,1026440.0109999999,143173.4955,299473.985,3301751.58,3301751.58,3301751.58,650892.9595,359803.5705,2172375.294,17225.875,1234614.055,177859.08800000002,177859.08800000002,3252658.7539999997,2654663.809,5791429.017999999,116175.4602,3660573.4960000003,966373.1170000001,966373.1170000001,966373.1170000001,567549.5215,227489.598,33900000.0,33900000.0,2468218.274,6504598.161,9389536.063,9389536.063,327828.0527,6843619.415,6843619.415,2481302.134,4206479.988,262307.9565,441235.3878,1092623.495,732138.2835,13000000.0,13000000.0,13000000.0,13000000.0,38204.7425,38204.7425,32489.1,38901.0995,124813.0,28300000.0,28300000.0,71779.76400000001,11000000.0,1333890.636,21000000.0,21000000.0,769159.308,769159.308,769159.308,1267501.723,4460345.121,3557265.61,3557265.61,3557265.61,3557265.61,3493624.0889999997,729422.7865,9011032.341,9011032.341,92300000.0,105000000.0,3637243.329,57376.325999999994,407280.3995,232514.3455,196154.9215,36475.6115,36475.6115,36475.6115,903551.1725,21300000.0,231188.6929,243839.2565,643475.18,442902.6995,727977.69,110795.5625,792539.8069,4596057.251,12100000.0,1530110.065,6877235.557,105937.3067,1627733.1330000001,635253.4435,14000000.0,41600000.0,421536.7425,189232.1935,559395.8845,27800000.0,17161.8845,17161.8845,17161.8845,609558.9116,1873757.501,1873757.501,1873757.501,1873757.501,153461.1035,114506.0385,64891.86147,18000000.0,1203764.053,74900000.0,74900000.0,27200000.0,27200000.0,27200000.0,27200000.0,27200000.0,17500000.0,38100000.0,109863.6446,381020.869,3208325.9289999995,1656642.966,205902.32,659374.302,555009.9362,26308.979,15200000.0,15200000.0,21200000.0,25567.59646,91300000.0,4045071.113,11200000.0,11700000.0,863583.5705,863583.5705,863583.5705,160827.738,10310.8885,259125.4745,259125.4745,259125.4745,259125.4745,50704.5635,50704.5635,50704.5635,50704.5635,37285.5685,4606023.933,4606023.933,4606023.933,91789.069,10124.867,308460.6984,15201.478000000001,321970.8675,274086.63899999997,18500000.0,3180944.245,124765.0235,124765.0235,26458.1775,458381.745,458381.745,530170.0689,119084.70300000001,66216.56805,17900000.0,532212.0835,146194.53,5194584.733,78200000.0,6673921.307999999,501715.119,12500000.0,13700000.0,76536.5525,20478.896,25741.2205,95874.38699999999,12740.7715,2787027.857,1168639.832,1523939.241,2000442.5990000002,849256.1943,706554.939,180586.67,134708.43,197981.50199999998,125713.395,161353.927,188418.0975,212859.6495,38312002.0,4709782.272,551437.063,551437.063,15600000.0,210251.2984,1454421.5,1454421.5,21500000.0,3468391.6580000003,541957.9029,541957.9029,1823569.955,1145890.102,2422276.256,2422276.256,12400000.0,5538666.71,3880201.3260000004,26458.1775,207555.0975,207555.0975
4629356.62,2626260.313,2663686.256,2743714.7060000002,2743714.7060000002,2953296.65,16300000.0,862674.1120000001,708419.1145,2675882.9480000003,16200000.0,1283102.1609999998,362216.56299999997,7119664.598999999,7119664.598999999,7119664.598999999,1275712.896,1275712.896,72731.0045,62119.7645,2204269.235,2204269.235,2204269.235,98833.11315,183808.83,146825.63,14634.82851,723851.2853,113978.9935,113978.9935,1790927.659,628389.488,3872367.986,113409.1985,2087994.659,676541.9395,676541.9395,676541.9395,1620036.6330000001,45961.28128,8792657.912999999,8792657.912999999,236232.7195,3076216.1119999997,5503910.671,5503910.671,161765.896,875816.286,875816.286,1883091.967,3248521.393,527901.9645,588805.7794,421602.1809,1042356.19,3125770.1489999997,3125770.1489999997,3125770.1489999997,3125770.1489999997,36733.448,36733.448,13728.833,18553.8205,56948.57694,14700000.0,14700000.0,488500.85299999994,12700000.0,767831.4841,11700000.0,11700000.0,341855.6005,341855.6005,341855.6005,850850.3671,3320605.6210000003,1088532.932,1088532.932,1088532.932,1088532.932,1991365.332,6243.382441,4952592.308,4952592.308,90900000.0,43700000.0,2715300.045,65476.4955,255649.1334,262707.9915,84934.02758,9098.327,9098.327,9098.327,598855.7318,2638047.18,55799.9795,336465.4675,430396.6355,157630.1715,392475.65,45612.704000000005,439286.4298,5290691.391,9616660.632000001,1508990.231,3587208.293,35651.519,1818601.8590000002,645437.1465,2137881.181,12800000.0,171772.143,3154.853788,237154.8575,5410091.057999999,4361.409000000001,4361.409000000001,4361.409000000001,61349.10400000001,911474.7825,911474.7825,911474.7825,911474.7825,135165.376,152664.6185,38813.8125,10300000.0,395894.742,14700000.0,14700000.0,11300000.0,11300000.0,11300000.0,11300000.0,11300000.0,16200000.0,7930081.198,50354.07575,255380.3255,776121.3315,1106659.612,116769.8409,424248.864,1226719.83,14330.277909999999,68500000.0,68500000.0,12600000.0,45398.2215,73900000.0,2866091.224,7427077.312999999,4864504.297,379266.58200000005,379266.58200000005,379266.58200000005,208672.5885,20348.4655,100900.2795,100900.2795,100900.2795,100900.2795,46488.869000000006,46488.869000000006,46488.869000000006,46488.869000000006,14716.90204,2610828.818,2610828.818,2610828.818,39923.854,12492.37091,166716.40300000002,10515.4915,276066.455,196078.093,1406311.0180000002,5569623.417,51677.186010000005,51677.186010000005,33861.187999999995,101138.0381,101138.0381,682157.5385,69117.273,20686.730030000002,337631.1625,355285.2295,104650.1085,2540017.478,46700000.0,1556015.9130000002,165922.204,5536732.7020000005,12000000.0,76831.19883,15728.0534,17296.964,78434.9135,8106.9165,1332201.2179999999,877157.0445,627619.6688,734247.1742,412107.5117,470070.3615,118251.2135,90405.25099999999,108936.3755,70642.98401,111516.998,90822.851,110530.9375,5885236.761,617761.134,77478.49226,77478.49226,4322859.183999999,98955.395,219195.5555,219195.5555,1049085.393,1591995.29,161703.6707,161703.6707,522101.74299999996,279968.788,717314.6781,717314.6781,954327.5515,3096407.4110000003,2495386.327,33861.187999999995,158135.27599999998,158135.27599999998
2011695.332,734847.3655,699211.4185,941275.5365,941275.5365,2200818.42,5581527.143999999,113610.205,161268.4905,3298522.652,18700000.0,222089.2495,122882.9072,2048168.426,2048168.426,2048168.426,363646.1255,363646.1255,90579.1055,117248.8775,499879.9825,499879.9825,499879.9825,139492.971,90607.84599999999,1062428.774,3848.032692,181114.0755,175275.6726,175275.6726,797401.215,1129898.728,940920.915,62446.830239999996,924266.978,455608.19200000004,455608.19200000004,455608.19200000004,575288.4396,95296.49699999999,1606369.115,1606369.115,1602878.092,979787.2175,3294857.15,3294857.15,71885.539,507754.386,507754.386,1034275.6390000001,674217.579,123325.787,59906.7845,215468.8019,291612.033,2403675.804,2403675.804,2403675.804,2403675.804,1825.8765,1825.8765,4156.751566,10804.261,23218.455,11300000.0,11300000.0,104776.1675,333681.747,199529.03600000002,11900000.0,11900000.0,34750.688480000004,34750.688480000004,34750.688480000004,142103.68300000002,907565.9985,1462625.023,1462625.023,1462625.023,1462625.023,607104.877,403946.9855,1748158.446,1748158.446,851793.18,61700000.0,1616865.83,11551.8505,106209.929,38226.9785,36013.1545,12810.9235,12810.9235,12810.9235,252307.6605,6425481.132,65276.583,30344.199,108131.0815,62834.2545,102953.4685,14739.220019999999,303837.7535,778945.0725,3516514.9710000004,124942.8195,2521415.2169999997,26401.701,177210.1185,210591.8385,2476734.9590000003,13800000.0,24136.8965,12826.18949,161811.4245,15800000.0,5053.117,5053.117,5053.117,261105.9036,391735.042,391735.042,391735.042,391735.042,24396.0385,4340.621,11970.187,4870617.851,457680.35799999995,14600000.0,14600000.0,4094825.8039999995,4094825.8039999995,4094825.8039999995,4094825.8039999995,4094825.8039999995,3742085.29,15800000.0,43322.54674,193126.5205,1232900.982,387214.25399999996,75643.3065,80732.219,156134.2317,7730.506506000001,336602.416,336602.416,5801713.649,7200.355914,7971703.161,302329.9333,1159207.9340000001,1860253.8390000002,254068.8285,254068.8285,254068.8285,105421.9255,2010.004607,30164.9025,30164.9025,30164.9025,30164.9025,23203.9455,23203.9455,23203.9455,23203.9455,15884.619630000001,770611.7245,770611.7245,770611.7245,12036.3095,1756.9935329999998,174333.1305,2090.313,9613.881182,74831.38,309051.186,743170.2679999999,27140.8815,27140.8815,2517.15,106336.8455,106336.8455,97013.18213,25152.67613,52662.4335,7267117.585,121589.825,31202.8705,466605.342,41000000.0,461480.8135,165948.4065,3291328.814,8089686.418,18728.198,3616.281346,3390.597,33248.5395,3363.9970000000003,585109.35,783405.6135,508575.5889,971325.6565,128785.2234,73215.1,59152.06657,27870.502999999997,70141.444,47289.38773,50768.648610000004,25743.392999999996,129002.4055,3750468.273,400513.3155,94646.2065,94646.2065,3585117.557,51311.14396,675730.5045,675730.5045,6873795.81,1201784.5420000001,88134.9795,88134.9795,429546.1299,145860.142,484685.9684,484685.9684,7824380.448,1198829.9309999999,1644833.483,2517.15,54213.8205,54213.8205
6524580.602999999,1548619.701,2492898.235,2923178.5289999996,2923178.5289999996,3546574.189,10100000.0,62627.849,452757.2952,682845.1597,8596547.605,779737.4475,302610.5988,3156941.62,3156941.62,3156941.62,343470.62299999996,343470.62299999996,17169.468,108684.3188,1902899.4530000002,1902899.4530000002,1902899.4530000002,313615.914,140438.2375,71066.7855,8725.6005,683695.965,172406.0653,172406.0653,792606.0079999999,600783.0395,2806111.666,95107.92769,2144522.892,479503.7065,479503.7065,479503.7065,20160.971999999998,75987.70803,12800000.0,12800000.0,231600.7575,4095412.477,11600000.0,11600000.0,393268.2885,5347952.603999999,5347952.603999999,1170208.51,1887895.0769999998,187555.628,58235.9085,88419.67648,203811.4115,2843216.48,2843216.48,2843216.48,2843216.48,9016.9095,9016.9095,7749.90915,2115.5945,39471.854419999996,10400000.0,10400000.0,129692.0415,560297.0394,780635.7609999999,15600000.0,15600000.0,55493.9265,55493.9265,55493.9265,374509.5507,3225076.856,507199.5335,507199.5335,507199.5335,507199.5335,1686589.565,9310.868382999999,5041988.5,5041988.5,44800000.0,1677348.108,318315.217,20486.858,92779.42599999999,202716.896,128722.41699999999,1991.3015,1991.3015,1991.3015,672734.2755,2289591.9080000003,208725.2325,125421.778,291087.9035,30862.3635,457297.951,63740.8285,817835.3791,5375208.806,9923315.125,649468.0795,6459734.839,95545.644,1049336.791,767598.4665,11900000.0,26600000.0,165431.5105,36363.2335,338395.464,20500000.0,2905.004687,2905.004687,2905.004687,64242.144,617273.583,617273.583,617273.583,617273.583,47969.68448,41810.62302,37102.0765,10100000.0,654925.236,10100000.0,10100000.0,6840568.365,6840568.365,6840568.365,6840568.365,6840568.365,8395161.18,2390522.6859999998,78950.91069,183396.5255,4059500.6339999996,1010767.074,145595.45,571436.4086,72705.72548,23053.5835,1207032.62,1207032.62,20700000.0,19931.55613,46900000.0,2306296.744,9119637.845,7987881.872,718089.5675,718089.5675,718089.5675,109308.9575,4823.955354,71411.5155,71411.5155,71411.5155,71411.5155,25375.806,25375.806,25375.806,25375.806,20823.3535,2534762.754,2534762.754,2534762.754,49646.085999999996,1788.0733309999998,103170.386,5017.4455,268967.837,148761.7384,1178712.785,2562593.626,158168.7675,158168.7675,101284.743,460273.4485,460273.4485,65203.675,58040.38318,9147.374,218498.2735,388820.41799999995,69626.4055,4023990.808,59200000.0,10500000.0,200190.5025,8337534.655,4104353.771,3331.76,4105.9935,4853.042502,37338.261,8572.3785,1085330.081,1175668.874,1013143.073,607727.4079999999,655004.7868,946191.6307,130107.6978,118761.994,175959.1175,106147.9845,225481.518,81458.3725,235829.604,13900000.0,673470.3905,97188.26203,97188.26203,6068105.649,49695.53,2881482.684,2881482.684,1048461.608,1268140.413,154079.678,154079.678,778964.9158,182857.4935,1399566.775,1399566.775,1386025.034,1238145.996,4866463.71,101284.743,157686.6125,157686.6125
1856539.305,1372969.3930000002,771613.3379,1768996.165,1768996.165,4669248.858,9736121.041000001,198300.6985,287687.3442,4990902.249,38500000.0,461050.102,242501.8885,2250198.14,2250198.14,2250198.14,382631.3675,382631.3675,115848.4325,52686.5005,1864030.605,1864030.605,1864030.605,120109.4445,139569.0815,4616340.35,1823.114995,640742.4386,106568.09199999999,106568.09199999999,541021.27,2200981.877,3713344.061,53152.6739,2745580.0069999998,414789.977,414789.977,414789.977,46004.80612,140130.5077,4952692.827,4952692.827,770668.9205,4065607.2389999996,8823397.928,8823397.928,83525.9005,1809141.7780000002,1809141.7780000002,2041074.636,1739717.967,102186.90199999999,52712.937999999995,177337.8755,351522.0025,4345800.328,4345800.328,4345800.328,4345800.328,22232.246,22232.246,6894.124,19831.2505,99306.61,22900000.0,22900000.0,59083.988,287081.0175,725826.0682,20100000.0,20100000.0,11697.614,11697.614,11697.614,110849.772,2373347.09,5018523.312,5018523.312,5018523.312,5018523.312,1627699.4209999999,1129361.539,4874399.058999999,4874399.058999999,824083.845,125000000.0,4274969.869,26649.908,67019.269,97670.6555,136029.4,39116.5985,39116.5985,39116.5985,526281.5210000001,36700000.0,73053.344,63115.0435,191392.581,102557.07699999999,220066.3265,54852.6393,251929.5735,1067545.405,6088777.756,401317.3515,1655474.951,26269.359,372670.4955,227004.0495,6606126.86,33000000.0,42895.973,95901.7935,212871.3145,8266110.634,21252.7595,21252.7595,21252.7595,204456.3147,1532999.591,1532999.591,1532999.591,1532999.591,81421.5665,11400.41093,29801.898999999998,4818442.527,736534.838,4874430.13,4874430.13,8044857.409,8044857.409,8044857.409,8044857.409,8044857.409,7029833.887,76300000.0,96328.56217,200256.678,417542.04299999995,1452564.65,222302.605,288869.8825,234288.9148,13600.6735,2892965.297,2892965.297,16400000.0,11638.115,8142150.847999999,123326.4675,4511138.775,1782625.3930000002,302910.7785,302910.7785,302910.7785,110476.1703,2304.864622,84837.159,84837.159,84837.159,84837.159,19728.8715,19728.8715,19728.8715,19728.8715,28800.427000000003,2818682.152,2818682.152,2818682.152,45844.6875,8853.845,166818.4735,6360.353,302355.702,332866.0543,2072459.1930000002,806087.3768,31681.199,31681.199,3095.8415579999996,233925.812,233925.812,58443.523,94886.2185,31639.452,21100000.0,396042.1805,86266.367,370028.0335,67500000.0,1749365.8069999998,667483.437,11300000.0,19400000.0,32105.3885,5147.8245,5238.1035,54260.465,10872.541000000001,1998971.949,537087.3979999999,309896.1963,734721.2829,368578.9509,264534.5205,116668.30300000001,70263.9385,120162.0821,112121.17300000001,61960.809539999995,85347.2585,71621.511,2750547.729,246583.2959,82473.069,82473.069,3291769.887,46161.21367,767492.1915,767492.1915,13600000.0,1741030.73,151882.3696,151882.3696,400204.946,286460.26300000004,1063609.21,1063609.21,26700000.0,1822565.618,2744022.7539999997,3095.8415579999996,138124.5025,138124.5025
7891812.83,3486173.762,2706751.943,5544870.391,5544870.391,5427724.472999999,28900000.0,780836.6225,839144.4670000001,6030585.284,35500000.0,1768021.656,610589.0115,9074390.646,9074390.646,9074390.646,851795.978,851795.978,158901.2945,280899.6585,3205957.7939999998,3205957.7939999998,3205957.7939999998,579704.4770000001,352520.7035,2164955.972,25374.1155,1021810.108,136938.5385,136938.5385,3031222.0730000003,2555836.663,5563943.762999999,61397.64865,3447013.341,880103.306,880103.306,880103.306,592715.9845,228867.0163,31200000.0,31200000.0,2395961.165,6376839.842999999,9034556.342,9034556.342,299457.8594,6938684.977000001,6938684.977000001,2339474.214,4115635.72,223681.7085,364933.8246,1015692.3259999999,571761.2475,10800000.0,10800000.0,10800000.0,10800000.0,24365.1435,24365.1435,23919.41471,44374.9735,128967.215,27300000.0,27300000.0,93303.8015,10500000.0,1082475.284,20800000.0,20800000.0,733964.609,733964.609,733964.609,1133428.9340000001,3716105.693,3273982.313,3273982.313,3273982.313,3273982.313,3523094.441,685162.054,8033822.044,8033822.044,90500000.0,96600000.0,3315378.503,46859.4875,498346.195,234541.069,164728.2015,25782.04,25782.04,25782.04,963732.6857,21900000.0,200113.7008,237030.3465,641874.705,432560.7445,713741.391,109852.26,891180.425,4170907.64,11700000.0,1469847.101,6733878.995,98896.36,1527950.187,542539.9645,13100000.0,37200000.0,364104.3045,182527.8838,476301.0775,29900000.0,17191.9025,17191.9025,17191.9025,678700.4615,1672087.1,1672087.1,1672087.1,1672087.1,124493.60800000001,100453.0485,67277.8925,17200000.0,1334494.277,72100000.0,72100000.0,24900000.0,24900000.0,24900000.0,24900000.0,24900000.0,16700000.0,36000000.0,99268.87141,375550.72799999994,3116420.5089999996,1755647.915,220221.9425,725303.1825,513234.5062,22984.3435,13000000.0,13000000.0,21500000.0,46780.467000000004,92300000.0,3820664.354,10900000.0,11700000.0,800350.463,800350.463,800350.463,144567.932,10411.469000000001,246309.7055,246309.7055,246309.7055,246309.7055,54369.3255,54369.3255,54369.3255,54369.3255,29439.4085,4107414.752,4107414.752,4107414.752,97060.4875,10091.8335,280810.5065,15558.38,344614.4805,258032.806,17500000.0,3296108.815,139753.813,139753.813,30169.886000000002,425481.89200000005,425481.89200000005,548584.9006,133393.03699999998,61098.371,18600000.0,498633.8692,135775.584,5060279.239,78200000.0,6726921.14,455228.16799999995,11900000.0,14300000.0,73472.9312,18559.9145,22585.7275,78094.9085,15032.0825,2542851.807,1174386.493,1527667.461,1954745.862,896791.7954,913515.663,174042.8532,114139.5025,224936.10600000003,134043.61,170743.8775,189569.2825,249777.0815,38900000.0,4609091.222,510937.148,510937.148,14500000.0,183702.09600000002,1773930.813,1773930.813,22500000.0,3788679.9760000003,677525.2315,677525.2315,1836225.5780000002,1172406.976,2504879.446,2504879.446,11500000.0,5237775.504,3573999.204,30169.886000000002,203572.4804,203572.4804
4858460.448,1624948.767,2039757.93,2074295.386,2074295.386,3540918.675,22400000.0,292201.113,577823.8085,1003345.045,6015709.226,891185.844,397465.0108,3531999.82,3531999.82,3531999.82,1443325.396,1443325.396,27789.9611,126259.8927,1732498.7719999999,1732498.7719999999,1732498.7719999999,287515.4096,140983.521,126408.3155,11580.876,365082.5659,154748.5985,154748.5985,8959695.695,351019.8445,2826652.385,94568.13283999999,2140002.64,1881361.386,1881361.386,1881361.386,24796.527000000002,89562.31199999999,59500000.0,59500000.0,547657.195,2633383.9680000003,7955883.77,7955883.77,160582.982,4066135.3310000002,4066135.3310000002,1366280.845,2377112.3880000003,192585.6595,94267.793,92536.99673,180989.2015,2813840.86,2813840.86,2813840.86,2813840.86,2391.872416,2391.872416,11568.9665,3143.77,54342.21,11400000.0,11400000.0,109964.2625,1074698.1570000001,413362.98600000003,17900000.0,17900000.0,118808.9945,118808.9945,118808.9945,489868.439,1456512.035,721306.3420000001,721306.3420000001,721306.3420000001,721306.3420000001,2206106.833,13725.399,4483807.067,4483807.067,10800000.0,7391875.99,426387.8785,26682.2595,114919.8265,159698.7545,134420.8605,5845.472,5845.472,5845.472,828247.5493,8034739.543,731849.7935,188777.7745,462512.1375,50742.3505,965323.7159999999,110743.00099999999,925175.301,4236193.425,11900000.0,999688.5095,6319492.52,88721.641,1137887.897,473857.1615,3888771.6610000003,26000000.0,273006.3515,25699.949,279899.9328,7097659.335,4842.092216,4842.092216,4842.092216,99545.939,1306097.121,1306097.121,1306097.121,1306097.121,58067.128,47049.1585,45960.934,11600000.0,882174.4029999999,7659832.543,7659832.543,5755729.408,5755729.408,5755729.408,5755729.408,5755729.408,8872988.295,2856973.889,91644.34145,179131.0655,1136810.058,1221032.239,119125.7195,364757.2615,173220.003,11351.48,1229355.009,1229355.009,27500000.0,28817.089,41500000.0,9259053.424,15400000.0,6326953.187000001,631309.134,631309.134,631309.134,140938.2747,3679.121322,50768.1905,50768.1905,50768.1905,50768.1905,16891.8075,16891.8075,16891.8075,16891.8075,9523.57,2198904.57,2198904.57,2198904.57,63552.316,1808.9679999999998,207284.0055,11725.131000000001,232403.828,129704.3507,595600.3525,7410346.091,78651.6195,78651.6195,69463.303,150002.1555,150002.1555,235643.46899999998,29767.40932,14376.791000000001,274530.6268,291436.5555,105164.2215,5605444.114,64200000.0,4689799.159,123307.9685,10400000.0,17700000.0,2141.3215,3623.1592149999997,3908.325,32550.653,4992.923637,866437.421,975436.5809999999,857934.5911,449282.852,879168.2066,1556515.9780000001,186451.8576,127089.364,255289.0885,137564.087,145569.848,95369.898,161554.9075,24600000.0,579022.936,404519.914,404519.914,4865691.944,123690.3175,817076.233,817076.233,1209790.61,1939725.3630000001,282711.3168,282711.3168,951860.9088,200035.539,2246584.562,2246584.562,1368796.7040000001,975364.1140000001,1091433.8329999999,69463.303,157202.14800000002,157202.14800000002
14700000.0,5126260.065,3925276.5239999997,5979577.457,5979577.457,4170603.21,36000000.0,225587.7265,2227295.148,3475147.393,25800000.0,2362613.307,846884.5155,16000000.0,16000000.0,16000000.0,869476.6714,869476.6714,90577.5975,74708.07705,3211765.7010000004,3211765.7010000004,3211765.7010000004,297720.06899999996,314869.9475,431846.4815,12717.598999999998,856964.488,165235.7825,165235.7825,2933192.1739999996,1311222.189,5212597.344,52619.33785,1742660.2019999998,905336.7788,905336.7788,905336.7788,25674.12527,109463.3183,5528312.265,5528312.265,544694.451,905735.8225,8314108.267999999,8314108.267999999,507442.8635,792273.6025,792273.6025,1991412.675,5680958.065,124901.838,832114.4314,928058.8259999999,526964.2325,7966577.384,7966577.384,7966577.384,7966577.384,76111.1235,76111.1235,34386.21405,40764.6375,127699.7142,12500000.0,12500000.0,45790.4265,22000000.0,1026173.027,15500000.0,15500000.0,728070.978,728070.978,728070.978,193062.3237,4300065.612,1000367.875,1000367.875,1000367.875,1000367.875,2402187.498,3658.021682,5986376.1389999995,5986376.1389999995,116000000.0,67700000.0,1230161.219,40291.457,160687.538,176607.475,122930.9385,11595.7945,11595.7945,11595.7945,560494.657,7791051.044,45956.8605,398176.4545,271843.6825,227157.417,503312.414,57874.8745,235372.4263,6356110.491,10800000.0,2544490.845,1921087.389,28293.7925,2298202.63,311953.289,9768249.183,19500000.0,636162.303,2000.8448440000002,373411.31899999996,16000000.0,4995.467104,4995.467104,4995.467104,50264.8755,565608.6497,565608.6497,565608.6497,565608.6497,106713.0185,189911.585,150500.1929,16100000.0,736053.1140000001,106000000.0,106000000.0,61900000.0,61900000.0,61900000.0,61900000.0,61900000.0,40600000.0,10600000.0,99637.61506,239102.5704,3024662.875,1581553.466,155000.4615,611672.3469,2772669.0160000003,12664.2735,2230751.8880000003,2230751.8880000003,15700000.0,82941.19,147000000.0,933956.8845,3881965.583,17500000.0,397203.216,397203.216,397203.216,346371.465,28275.2165,147202.5765,147202.5765,147202.5765,147202.5765,72043.2615,72043.2615,72043.2615,72043.2615,30384.7645,3326333.898,3326333.898,3326333.898,55813.2575,8405.0045,304436.0355,7233.871,43971.297,206059.4425,865878.2115,2187504.631,91268.17599999999,91268.17599999999,51424.995,167852.9665,167852.9665,394385.5401,79795.30053,19356.0229,857762.521,343817.1005,121810.804,1363176.5380000002,46900000.0,5628609.278,259038.6763,4859928.217,3013433.163,198260.13,29051.537,44228.1235,131885.1325,13801.5005,2704161.644,1965514.246,1566139.1430000002,900868.9389,775471.1349,832543.248,163560.1168,142246.009,238805.5055,154707.7172,206472.90399999998,101233.1175,227311.9575,35800000.0,5472367.938999999,787440.0115,787440.0115,14800000.0,86835.906,885331.165,885331.165,5224407.312,3085931.1769999997,298468.2742,298468.2742,2119114.297,434274.571,1090396.722,1090396.722,3024398.3789999997,2978370.0710000005,7000631.88,51424.995,149583.103,149583.103
